age,qx
20,0.0001889466210964059
21,0.00020366256824301968
22,0.00021952465443761062
23,0.00023662214574672602
24,0.00025505126064870933
25,0.00027491571151638886
26,0.00029632728827268717
27,0.00031940648750375085
28,0.00034428319057002316
29,0.0003710973945314212
30,0.0004
31,0.00043115366035385264
32,0.00046473369709131327
33,0.0005009290864767457
34,0.0005399435230304013
35,0.0005819965658472806
36,0.0006273248741960675
37,0.0006761835393516365
38,0.0007288475201562036
39,0.0007856131903879389
40,0.0008468000066450698
41,0.0009127523061317215
42,0.0009838412444627797
43,0.0010604668843930427
44,0.0011430604472252657
45,0.0012320867395672127
46,0.001328046769094619
47,0.0014314805640406316
48,0.0015429702122787897
49,0.0016631431371024034
50,0.0017926756281352262
51,0.0019322966472441114
52,0.0020827919308719395
53,0.0022450084118772625
54,0.0024198589857651782
55,0.002608327648132045
56,0.002811475032235717
57,0.003030444377854738
58,0.0032664679650270608
59,0.0035208740488750423
60,0.0037950943345434105
61,0.004090672034316399
62,0.00440927055225664
63,0.00475268284523976
64,0.005122841513065212
65,0.005521829674426838
66,0.005951892689949132
67,0.0064154507982622675
68,0.006915112736227056
69,0.0074536904199596
70,0.008034214769275067
71,0.008659952764604819
72,0.009334425832377086
73,0.010061429662327346
74,0.010845055568263153
75,0.011689713512493977
76,0.01260015692349917
77,0.013581509446499015
78,0.014639293777471191
79,0.01577946274288021
80,0.017008432800025113
81,0.01833312014653338
82,0.019760979642212066
83,0.021300046762294238
84,0.022958982818178476
85,0.02474712370014716
86,0.026674532416370064
87,0.028752055723863603
88,0.030991385170104333
89,0.033405122888816474
90,0.03600685252020873
91,0.03881121565477334
92,0.041833994230845654
93,0.04509219934962765
94,0.04860416700749395
95,0.05238966128432744
96,0.05646998556859076
97,0.060868102445067795
98,0.06560876291996068
99,0.07071864571057293
100,0.076226507383452
